label=GoogleLES build_tabular end-to-end
samples=13373 sample_rate=0.05
format=flat sortedby=count mincount=5

   Count  Overhead File                                                                                                                        Line Function
     128         0 @Zarr/src/Storage/Storage.jl                                                                                                 75 _concatpath(p::SubString{String}, s::SubString{String})
     136         0 @Base/channels.jl                                                                                                           397 put!(c::Channel{Pair{CartesianIndex{4}, Union{Nothing, Vector{UInt8}}}}, v::Pair{CartesianIndex{4}, Vector{UInt8}})
     144         0 @Base/dict.jl                                                                                                               356 setindex!(h::Dict{String, Zarr.ZArray}, v0::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, key::String)
     144       144 @Base/genericmemory.jl                                                                                                      253 _setindex!
     144         0 @Base/genericmemory.jl                                                                                                      260 setindex!
     144         0 @Base/dict.jl                                                                                                               326 _setindex!
     144         0 @Base/dict.jl                                                                                                               363 setindex!(h::Dict{String, Zarr.ZArray}, v0::Zarr.ZArray{Float32, 1, Zarr.BloscCompressor, Zarr.GCStore}, key::String)
     152         0 @Base/array.jl                                                                                                              542 fill(v::Float32, dims::NTuple{4, Int64})
     152         0 @Zarr/src/ZArray.jl                                                                                                         156 getchunkarray
     152         0 @Zarr/src/ZArray.jl                                                                                                         172 readblock!(aout::Array{Float32, 4}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{4, NTuple{4, UnitRa…
     160         0 @StructUtils/src/StructUtils.jl                                                                                             175 initialize
     160         0 @Zarr/src/ZArray.jl                                                                                                         174 readblock!(aout::Vector{Float32}, z::Zarr.ZArray{Float32, 1, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{1, Tuple{UnitRange{In…
     176         0 @Base/stat.jl                                                                                                               191 stat(path::String)
     176         0 @Base/stat.jl                                                                                                               587 isdir
     176         0 @Base/file.jl                                                                                                               240 mkpath(path::String; mode::UInt16)
     176         0 @Base/file.jl                                                                                                               237 mkpath
     176         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     212 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h…
     176         0 @Base/task.jl                                                                                                              1216 poptask(W::Base.IntrusiveLinkedListSynchronized{Task})
     176         0 @Base/task.jl                                                                                                              1228 wait()
     176       176 @StructUtils/src/StructUtils.jl                                                                                             989 makedict(style::JSON.JSONReadStyle{Dict, Nothing}, dict::Dict{Any, Any}, source::JSON.LazyValue{String})
     176       176 @Base/array.jl                                                                                                              819 _collect(c::Array{Base.RefValue{Any}, 4}, itr::Base.Generator{Array{Base.RefValue{Any}, 4}, Base.var"#maptwice##2#maptwice##3"}, ::Base.Elt…
     190         0 @Zarr/src/ZGroup.jl                                                                                                          30 Zarr.ZGroup(s::Zarr.GCStore, mode::String, path::SubString{String}; fill_as_missing::Bool)
     192       192 @Base/strings/string.jl                                                                                                      71 String(v::Vector{UInt8})
     224         0 @StructUtils/src/StructUtils.jl                                                                                            1036 makearray(style::JSON.JSONReadStyle{Dict{String, Any}, Nothing}, ::Type{Vector{Any}}, source::JSON.LazyValue{String})
     232         0 @Base/channels.jl                                                                                                           527 take_buffered(c::Channel{Pair{CartesianIndex{4}, Union{Nothing, Vector{UInt8}}}})
     232         0 @Zarr/src/ZArray.jl                                                                                                         184 readblock!(aout::Array{Float32, 4}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{4, NTuple{4, UnitRa…
     240         0 @Base/dict.jl                                                                                                               156 rehash!(h::Dict{Any, Any}, newsz::Int64)
     240         0 @Base/strings/util.jl                                                                                                       897 split(str::String, splitter::Char)
     256         0 @Base/abstractarray.jl                                                                                                      832 similar
     280       280 @HTTP/src/clientlayers/StreamRequest.jl                                                                                     178 readbody!(stream::HTTP.Streams.Stream{HTTP.Messages.Response, HTTP.Connections.Connection{OpenSSL.SSLStream}}, res::HTTP.Messages.Response,…
     288        80 @Zarr/src/ZArray.jl                                                                                                         125 Zarr.ZArray(s::Zarr.GCStore, mode::String, path::String; fill_as_missing::Bool)
     288         0 @Base/dict.jl                                                                                                               351 setindex!(h::Dict{String, Zarr.ZArray}, v0::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, key0::SubString{String})
     296       152 @Base/array.jl                                                                                                              815 _collect(c::Vector{Base.RefValue{Any}}, itr::Base.Generator{Vector{Base.RefValue{Any}}, Base.var"#maptwice##2#maptwice##3"}, ::Base.EltypeU…
     304        64 @Zarr/src/ZGroup.jl                                                                                                          22 Zarr.ZGroup(s::Zarr.GCStore, mode::String, path::SubString{String}; fill_as_missing::Bool)
     328         0 @Zarr/src/Storage/Storage.jl                                                                                                111 is_zgroup
     328         0 @Zarr/src/ZGroup.jl                                                                                                          53 zopen_noerr(s::Zarr.GCStore, mode::String; consolidated::Bool, path::SubString{String}, lru::Int64, fill_as_missing::Bool)
     335         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     404 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h…
     336         0 @Base/channels.jl                                                                                                           329 bind
     336         0 @Zarr/src/ZArray.jl                                                                                                         179 readblock!(aout::Vector{Float32}, z::Zarr.ZArray{Float32, 1, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{1, Tuple{UnitRange{In…
     350         0 @Zarr/src/ZGroup.jl                                                                                                          25 Zarr.ZGroup(s::Zarr.GCStore, mode::String, path::SubString{String}; fill_as_missing::Bool)
     360         0 @Base/asyncmap.jl                                                                                                           183 maptwice(wrapped_f::Function, chnl::Channel{Any}, worker_tasks::Vector{Any}, c::CartesianIndices{1, Tuple{UnitRange{Int64}}})
     367         0 @Base/ryu/Ryu.jl                                                                                                            114 show(io::IOBuffer, x::Float64, forceuntyped::Bool, fromprint::Bool)
     367         0 @Base/ryu/Ryu.jl                                                                                                            113 show
     367         0 @Base/strings/io.jl                                                                                                         151 print_to_string(::String, ::Int64, ::String, ::Int64, ::String, ::Int64, ::String, ::Float64, ::String)
     397         0 @Base/array.jl                                                                                                              354 copy
     416         0 @Base/strings/util.jl                                                                                                       897 split
     416         0 @Zarr/src/ZArray.jl                                                                                                         176 readblock!(aout::Vector{Float32}, z::Zarr.ZArray{Float32, 1, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{1, Tuple{UnitRange{In…
     447         0 @Base/strings/io.jl                                                                                                         193 string
     461         0 @Zarr/src/Storage/Storage.jl                                                                                                 86 maybecopy(x::Vector{UInt8})
     464         0 @Zarr/src/Storage/gcstore.jl                                                                                                129 (::Zarr.var"#subdirs##4#subdirs##5")(prefix::String)
     464         0 @Base/array.jl                                                                                                              826 collect_to_with_first!(dest::Vector{String}, v1::String, itr::Base.Generator{Vector{Any}, Zarr.var"#subdirs##4#subdirs##5"}, st::Int64)
     464         0 @Zarr/src/Storage/gcstore.jl                                                                                                129 subdirs(s::Zarr.GCStore, p::SubString{String})
     464         0 @Base/refpointer.jl                                                                                                         147 Ref
     512       512 @Base/dict.jl                                                                                                               168 rehash!(h::Dict{Any, Any}, newsz::Int64)
     528         0 @Base/array.jl                                                                                                              740 _collect(cont::UnitRange{Int64}, itr::Base.SplitIterator{String, Base.Fix2{typeof(isequal), Char}}, ::Base.HasEltype, isz::Base.SizeUnknown)
     568         0 @Base/lock.jl                                                                                                               218 (::Base.var"#slowlock#lock##0")(rl::ReentrantLock)
     576         0 @Base/asyncmap.jl                                                                                                           239 start_worker_task!
     608         0 @Base/refvalue.jl                                                                                                            10 RefValue
     608         0 @Base/refpointer.jl                                                                                                         145 Ref
     608         0 @HTTP/src/clientlayers/RetryRequest.jl                                                                                       48 (::HTTP.RetryRequest.var"#manageretries#retrylayer##0"{HTTP.RetryRequest.var"#manageretries#1#retrylayer##1"{HTTP.ConnectionRequest.var"#co…
     640       640 @JSON/src/parse.jl                                                                                                          366 lift(style::JSON.JSONReadStyle{Dict, Nothing}, ::Type{Number}, x::JSON.LazyValue{String}, tags::@NamedTuple{})
     640         0 @JSON/src/parse.jl                                                                                                          323 make(st::JSON.JSONReadStyle{Dict, Nothing}, ::Type{Any}, x::JSON.LazyValue{String})
     640         0 @HTTP/src/clientlayers/ConnectionRequest.jl                                                                                  61 (::HTTP.ConnectionRequest.var"#connections#connectionlayer##0"{HTTP.ConnectionRequest.var"#connections#1#connectionlayer##1"{HTTP.TimeoutRe…
     640         0 @OpenSSL/src/ssl.jl                                                                                                         443 macro expansion
     656         0 @Base/lock.jl                                                                                                               195 lock
     656         0 @Base/lock.jl                                                                                                               374 macro expansion
     656         0 @HTTP/src/Connections.jl                                                                                                    217 read_to_buffer(c::HTTP.Connections.Connection{OpenSSL.SSLStream}, sizehint::Int64)
     656         0 @HTTP/src/Connections.jl                                                                                                    239 readuntil(c::HTTP.Connections.Connection{OpenSSL.SSLStream}, f::typeof(HTTP.Parsers.find_end_of_header), sizehint::Int64)
     656         0 @Base/array.jl                                                                                                              728 collect
     656         0 @Base/strings/util.jl                                                                                                       899 #split#428
