label=GoogleLES build_tabular end-to-end
samples=13451 sample_rate=0.05
format=flat sortedby=count mincount=5

    Count  Overhead File                                                                                                                        Line Function
       56         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     243 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h_re…
       64        64 @Base/strings/util.jl                                                                                                       745 iterate(iter::Base.SplitIterator{SubString{String}, Base.Fix2{typeof(isequal), Char}}, ::Tuple{Int64, Int64, Int64})
       64         0 @Base/array.jl                                                                                                              741 _collect(cont::UnitRange{Int64}, itr::Base.SplitIterator{SubString{String}, Base.Fix2{typeof(isequal), Char}}, ::Base.HasEltype, isz::Base.Siz…
       64         0 @Zarr/src/Storage/gcstore.jl                                                                                                 68 Zarr.GCStore(url::String)
       64         0 @Base/asyncmap.jl                                                                                                           202 setup_chnl_and_tasks
       64         0 @Zarr/src/ZArray.jl                                                                                                         174 readblock!(aout::Array{Float32, 4}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{4, NTuple{4, UnitRange…
       72         0 @Base/refvalue.jl                                                                                                            59 getindex
       72         0 @Zarr/src/ZArray.jl                                                                                                         262 eachchunk
       80        16 @Zarr/src/Storage/gcstore.jl                                                                                                147 storefromstring(::Type{Zarr.GCStore}, url::String, ::Bool)
       80         0 @Zarr/src/ZGroup.jl                                                                                                         116 storefromstring(s::String, create::Bool)
       80         0 @Zarr/src/ZGroup.jl                                                                                                         109 zopen(s::String, mode::String; kwargs::Base.Pairs{Symbol, Bool, Nothing, @NamedTuple{consolidated::Bool}})
       80        80 @StructUtils/src/StructUtils.jl                                                                                            1048 makearray
       80         0 @Zarr/src/ZArray.jl                                                                                                         176 readblock!(aout::Vector{Float32}, z::Zarr.ZArray{Float32, 1, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{1, Tuple{UnitRange{Int64…
       80         0 @Base/dict.jl                                                                                                               100 Dict{Symbol, Any}(::Pair{Symbol, Float32}, ::Vararg{Pair})
       80         0 @Base/strings/io.jl                                                                                                         147 print_to_string(::String, ::Int64, ::String, ::Int64, ::String, ::String, ::String, ::Int64)
       96         0 @URIs/src/URIs.jl                                                                                                            75 URI
       96         0 @HTTP/src/HTTP.jl                                                                                                           563 request_uri
       96         0 @Zarr/src/ZArray.jl                                                                                                         169 readblock!(aout::Array{Float32, 4}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{4, NTuple{4, UnitRange…
       96         0 @Zarr/src/ZArray.jl                                                                                                         194 readblock!(aout::Array{Float32, 4}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{4, NTuple{4, UnitRange…
      112        48 @Base/array.jl                                                                                                              377 similar(a::Vector{Any}, T::Type, dims::Tuple{Int64})
      112         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     261 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h_re…
      128         0 @Zarr/src/Storage/Storage.jl                                                                                                 75 _concatpath(p::SubString{String}, s::SubString{String})
      128       128 @Base/array.jl                                                                                                              901 iterate(A::Vector{String}, i::Int64)
      128         0 @Zarr/src/ZGroup.jl                                                                                                          29 Zarr.ZGroup(s::Zarr.GCStore, mode::String, path::SubString{String}; fill_as_missing::Bool)
      136       136 @StructUtils/src/StructUtils.jl                                                                                             989 makedict(style::JSON.JSONReadStyle{Dict, Nothing}, dict::Dict{Any, Any}, source::JSON.LazyValue{String})
      144       144 @Zarr/src/Compressors/Compressors.jl                                                                                         55 getCompressor(compdict::Dict{Any, Any})
      144         0 @Zarr/src/metadata.jl                                                                                                       166 Zarr.Metadata(d::Dict{Any, Any}, fill_as_missing::Bool)
      144         0 @Base/lock.jl                                                                                                               253 wait_no_relock(c::Base.GenericCondition{Base.Threads.SpinLock})
      144         0 @Base/lock.jl                                                                                                               195 (::Base.var"#slowlock#lock##0")(rl::ReentrantLock)
      152         0 @Base/array.jl                                                                                                              542 fill(v::Float32, dims::NTuple{4, Int64})
      152         0 @Zarr/src/ZArray.jl                                                                                                         156 getchunkarray
      152         0 @Zarr/src/ZArray.jl                                                                                                         172 readblock!(aout::Array{Float32, 4}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{4, NTuple{4, UnitRange…
      157         0 @Base/strings/substring.jl                                                                                                   77 String
      160         0 @Base/dict.jl                                                                                                               156 rehash!(h::Dict{Any, Any}, newsz::Int64)
      160         0 @Base/abstractarray.jl                                                                                                      824 similar
      160         0 @Base/array.jl                                                                                                              660 _similar_for
      160         0 @Base/array.jl                                                                                                              738 _collect(cont::UnitRange{Int64}, itr::Base.SplitIterator{String, Base.Fix2{typeof(isequal), Char}}, ::Base.HasEltype, isz::Base.SizeUnknown)
      160         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     286 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h_re…
      192       192 @Base/array.jl                                                                                                              356 copy
      192       192 @Base/genericmemory.jl                                                                                                      253 _setindex!
      192         0 @Base/genericmemory.jl                                                                                                      260 setindex!
      192         0 @Base/dict.jl                                                                                                               326 _setindex!
      192         0 @Base/dict.jl                                                                                                               363 setindex!(h::Dict{String, Zarr.ZArray}, v0::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, key::String)
      192         0 @Base/dict.jl                                                                                                               351 setindex!(h::Dict{String, Zarr.ZArray}, v0::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, key0::SubString{String})
      192         0 @Base/asyncmap.jl                                                                                                           183 maptwice(wrapped_f::Function, chnl::Channel{Any}, worker_tasks::Vector{Any}, c::CartesianIndices{1, Tuple{UnitRange{Int64}}})
      207         0 @Zarr/src/Storage/Storage.jl                                                                                                111 is_zgroup
      207         0 @Zarr/src/ZGroup.jl                                                                                                          53 zopen_noerr(s::Zarr.GCStore, mode::String; consolidated::Bool, path::SubString{String}, lru::Int64, fill_as_missing::Bool)
      208         0 @Base/asyncmap.jl                                                                                                           201 setup_chnl_and_tasks
