label=GoogleLES build_tabular end-to-end
format=flat sortedby=count mincount=5

 Count  Overhead File                                                                                                                        Line Function
   256         0 @OpenSSL/src/ssl.jl                                                                                                         601 unsafe_read(ssl::OpenSSL.SSLStream, buf::Ptr{UInt8}, nbytes::UInt64)
   271         0 @Base/stream.jl                                                                                                             392 wait_readnb(x::Sockets.TCPSocket, nb::Int64)
   273         0 @Base/stream.jl                                                                                                             106 eof
   309         0 @Base/task.jl                                                                                                              1230 wait()
   309       291 @Base/libuv.jl                                                                                                              133 process_events
   381         1 @Base/condition.jl                                                                                                          141 wait(c::Base.GenericCondition{Base.Threads.SpinLock}; first::Bool)
   462         0 @OpenSSL/src/ssl.jl                                                                                                         443 unsafe_read(ssl::OpenSSL.SSLStream, buf::Ptr{UInt8}, nbytes::UInt64)
   494       389 @OpenSSL/src/ssl.jl                                                                                                         449 macro expansion
   524         0 @Base/lock.jl                                                                                                               376 macro expansion
   532         0 @Blosc/src/Blosc.jl                                                                                                         187 decompress!(dest::Vector{Float32}, src::Vector{UInt8})
   532       532 @Blosc/src/Blosc.jl                                                                                                          41 blosc_decompress
   533         0 @Zarr/src/Compressors/Compressors.jl                                                                                         60 zuncompress!
   533         0 @Zarr/src/Compressors/blosc.jl                                                                                               36 zuncompress!
   534         0 @Zarr/src/ZArray.jl                                                                                                         285 uncompress_to_output!(aout::Array{Float32, 4}, output_base_offsets::NTuple{4, Int64}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCSto…
   534         0 @Zarr/src/ZArray.jl                                                                                                         276 uncompress_raw!(a::Array{Float32, 4}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, curchunk::Vector{UInt8})
   605         0 @Zarr/src/ZArray.jl                                                                                                         190 readblock!(aout::Array{Float32, 4}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{4, NTuple{4, UnitRange{In…
   623         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     283 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h_resol…
   623         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     137 _load_googleles_cache(ds::Zarr.ZGroup{Zarr.GCStore}, timestep_range::UnitRange{Int64})
   623         0 @DiskArrays/src/indexing.jl                                                                                                 312 getindex(::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, ::UnitRange{Int64}, ::Function, ::Function, ::Function)
   623         0 @DiskArrays/src/indexing.jl                                                                                                  58 getindex_disk
   623         0 @DiskArrays/src/indexing.jl                                                                                                  69 getindex_disk!(::Nothing, ::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, ::UnitRange{Int64}, ::Vararg{Any})
   623         0 @DiskArrays/src/indexing.jl                                                                                                 106 getindex_disk_nobatch!(out::Nothing, a::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, i::Tuple{UnitRange{Int64}, Colon, Colon, Col…
   623         0 @DiskArrays/src/indexing.jl                                                                                                 294 readblock_checked!
   623         1 @Zarr/src/ZArray.jl                                                                                                         259 readblock!
   639         0 @Base/client.jl                                                                                                             550 _start()
   639         0 @Base/client.jl                                                                                                             283 exec_options(opts::Base.JLOptions)
   639         0 @Base/boot.jl                                                                                                               489 eval(m::Module, e::Any)
   639         0 @Base/Base.jl                                                                                                               308 (::Base.IncludeInto)(fname::String)
   639         0 @Base/Base.jl                                                                                                               307 include(mapexpr::Function, mod::Module, _path::String)
   639         0 @Base/loading.jl                                                                                                           2930 _include(mapexpr::Function, mod::Module, _path::String)
   639         0 @Base/loading.jl                                                                                                           2870 include_string(mapexpr::typeof(identity), mod::Module, code::String, filename::String)
   639         0 /home/jbenjami/Research_Schneider/CliMA/MLCondensateDistributions/experiments/amip_baseline/profile_googleles_pipeline.jl   155 _profile_pipeline()
   639         0 /home/jbenjami/Research_Schneider/CliMA/MLCondensateDistributions/experiments/amip_baseline/profile_googleles_pipeline.jl   118 _print_time_profile(label::String, f::var"#_profile_pipeline##0#_profile_pipeline##1"{String})
   639         0 @Profile/src/Profile.jl                                                                                                      60 macro expansion
   639         0 /home/jbenjami/Research_Schneider/CliMA/MLCondensateDistributions/experiments/amip_baseline/profile_googleles_pipeline.jl   159 #_profile_pipeline##0
   639         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     211 build_tabular
   689         0 @Base/lock.jl                                                                                                               195 (::Base.var"#slowlock#lock##0")(rl::ReentrantLock)
   689         0 @Base/lock.jl                                                                                                               253 wait_no_relock(c::Base.GenericCondition{Base.Threads.SpinLock})
   716         0 @HTTP/src/Streams.jl                                                                                                        317 readbytes!(http::HTTP.Streams.Stream{HTTP.Messages.Response, HTTP.Connections.Connection{OpenSSL.SSLStream}}, buf::IOBuffer, n::Int64)
   716         0 @HTTP/src/Streams.jl                                                                                                        283 unsafe_read
   716         0 @HTTP/src/Streams.jl                                                                                                        266 http_unsafe_read(http::HTTP.Streams.Stream{HTTP.Messages.Response, HTTP.Connections.Connection{OpenSSL.SSLStream}}, p::Ptr{UInt8}, n::UInt64)
   716         0 @HTTP/src/Connections.jl                                                                                                    203 unsafe_read(c::HTTP.Connections.Connection{OpenSSL.SSLStream}, p::Ptr{UInt8}, n::UInt64)
   718         0 @Base/io.jl                                                                                                                 890 unsafe_read
   727         0 @HTTP/src/Connections.jl                                                                                                    217 read_to_buffer(c::HTTP.Connections.Connection{OpenSSL.SSLStream}, sizehint::Int64)
   728         0 @Base/lock.jl                                                                                                               374 macro expansion
   728         0 @Base/lock.jl                                                                                                               195 lock
   730         0 @HTTP/src/Connections.jl                                                                                                    239 readuntil(c::HTTP.Connections.Connection{OpenSSL.SSLStream}, f::typeof(HTTP.Parsers.find_end_of_header), sizehint::Int64)
   733         0 @HTTP/src/Messages.jl                                                                                                       538 readheaders(io::HTTP.Connections.Connection{OpenSSL.SSLStream}, message::HTTP.Messages.Response)
   733         0 @HTTP/src/Connections.jl                                                                                                    237 readuntil
